"season_id","player_id","position","season_coverage_grade","snap_count"
"2019","5552","S","90.1",172
"2019","5557","S","63.5",6
"2019","5596","S","53.1",53
"2019","5820","S","53.1",36
"2019","4454","CB","68.8",137
"2019","5903","CB","61.1",152
"2019","6013","S","61.4",39
"2019","6118","S","63",117
"2019","6289","CB","58.2",142
"2019","6179","CB","64.7",5
"2019","6171","CB","70",195
"2019","6306","CB","75.6",116
"2019","6342","S","60",1
"2019","7051","S","70.3",60
"2019","6457","CB","63",127
"2019","7023","CB","53.1",124
"2019","7043","CB","51.4",151
"2019","7016","CB","70.8",174
"2019","7064","CB","77",138
"2019","7067","CB","49.9",57
"2019","7374","CB","68",20
"2019","7271","S","65.1",182
"2019","7279","S","66.3",47
"2019","7288","S","52.5",177
"2019","7814","S","48.7",14
"2019","7793","CB","67.7",117
"2019","7796","S","54.9",169
"2019","7799","S","49.5",169
"2019","7803","CB","68.2",137
"2019","7806","CB","60",153
"2019","7641","S","82.8",161
"2019","7649","CB","52.8",155
"2019","7654","CB","61.1",2
"2019","7817","CB","60.1",127
"2019","7896","CB","54.1",62
"2019","7835","CB","65",45
"2019","7838","S","36.3",153
"2019","7941","S","88.9",173
"2019","7850","S","61.1",162
"2019","7851","CB","67.1",8
"2019","7864","CB","64.5",175
"2019","7865","S","59.3",111
"2019","7872","S","63.2",102
"2019","8334","CB","60",197
"2019","8000","S","77.5",166
"2019","8026","S","60.6",34
"2019","8102","S","72.6",10
"2019","8110","CB","66.2",136
"2019","8220","S","62.6",166
"2019","8361","S","43.1",149
"2019","8396","S","78.2",165
"2019","8483","CB","63.6",135
"2019","8458","S","60",1
"2019","8714","S","58.5",53
"2019","8656","S","80.7",185
"2019","8660","CB","24.1",2
"2019","8666","CB","61.5",185
"2019","8649","CB","63.1",196
"2019","8676","CB","34.1",145
"2019","8736","S","60.4",50
"2019","8722","CB","62.3",3
"2019","8737","CB","57.6",178
"2019","8817","S","64.3",13
"2019","8744","CB","66.3",113
"2019","8749","CB","28.4",40
"2019","8760","S","34.9",26
"2019","8762","CB","58.7",113
"2019","8763","S","69",178
"2019","8782","S","53",136
"2019","8888","CB","61.9",96
"2019","8853","CB","56.5",120
"2019","9243","CB","65.5",5
"2019","9177","S","57.1",53
"2019","9040","CB","56.2",183
"2019","9253","S","66",50
"2019","9332","CB","79.8",76
"2019","9463","S","50.6",70
"2019","9444","CB","63.6",153
"2019","9449","CB","60.5",64
"2019","9451","CB","79.3",170
"2019","9460","CB","71.3",135
"2019","9479","S","62.8",111
"2019","9480","CB","46.6",131
"2019","9483","CB","40.1",85
"2019","9511","CB","59.1",143
"2019","9466","S","60.9",155
"2019","9578","S","71.3",93
"2019","9575","S","66.7",153
"2019","9531","CB","72",169
"2019","9542","S","57.7",130
"2019","9881","CB","30.1",8
"2019","9633","S","52.7",160
"2019","9940","S","46.1",9
"2019","9966","S","53",8
"2019","9680","CB","47.1",137
"2019","9682","S","64.9",5
"2019","9698","S","56.9",126
"2019","10057","CB","71.8",61
"2019","10057","CB","71.8",61
"2019","9892","CB","83.8",191
"2019","10073","CB","90.5",73
"2019","10109","S","43.7",66
"2019","9895","S","83",161
"2019","10672","CB","45.6",134
"2019","10648","S","59",134
"2019","10651","S","42",91
"2019","10658","CB","61.9",124
"2019","10659","CB","78.1",2
"2019","10346","S","54.2",81
"2019","10639","CB","57.8",132
"2019","10644","CB","64.1",178
"2019","10645","CB","52.6",214
"2019","10688","CB","47.2",41
"2019","10692","S","55.8",35
